,Order_Demand,Open,Promo,StateHoliday,SchoolHoliday,Petrol_price
0,16000,1,0,0,0,91
1,50000,1,0,0,0,85
2,3000,1,0,0,0,85
3,1000,1,0,0,0,93
4,7,1,0,0,0,95
5,2000,1,0,0,0,80
6,2,1,0,0,0,85
7,300,1,0,0,0,88
8,3000,1,0,0,0,95
9,5000,1,0,0,0,92
10,20,1,0,0,0,81
11,15000,1,0,0,0,85
12,100,1,0,0,0,91
13,10,1,0,0,0,90
14,16,1,0,0,0,94
15,400,1,0,0,0,96
16,10000,1,0,0,0,89
17,1,1,0,0,0,95
18,40,1,0,0,0,84
19,0,1,0,0,0,89
20,1000,1,0,0,0,89
21,10000,1,0,0,0,95
22,0,1,0,0,0,92
23,1800,1,0,0,0,92
24,0,1,0,0,0,83
25,10000,1,0,0,0,94
26,5000,1,0,0,0,88
27,8,1,0,0,0,88
28,5000,1,0,0,0,89
29,600,1,0,0,0,83
30,20,1,0,0,0,91
31,1000,1,0,0,0,80
32,11,1,0,0,0,94
33,0,1,0,0,0,85
34,10000,1,0,0,0,89
35,1000,1,0,0,0,93
36,6000,1,0,0,0,91
37,600,1,0,0,0,96
38,1,1,0,0,0,93
39,20000,1,0,0,0,93
40,5000,1,0,0,0,85
41,5000,1,0,0,0,95
42,2,1,0,0,0,89
43,357,1,0,0,0,81
44,180,1,0,0,0,93
45,1,1,0,0,0,94
46,42,1,0,0,0,91
47,2000,1,0,0,0,89
48,2000,1,0,0,0,81
49,1000,1,0,0,0,92
50,150000,1,0,0,0,93
51,24,1,0,0,0,91
52,100000,1,0,0,0,83
53,48,1,0,0,0,84
54,12000,1,0,0,0,87
55,50,1,0,0,0,88
56,13,1,0,0,0,92
57,21,1,0,0,0,87
58,926,1,0,0,0,91
59,50,1,0,0,0,96
60,217,1,0,0,0,84
61,1090,1,0,0,0,80
62,0,1,0,0,0,95
63,3,1,0,0,0,80
64,0,1,0,0,0,90
65,50,1,0,0,0,86
66,463,1,0,0,0,92
67,28,1,0,0,0,83
68,2,1,0,0,0,82
69,2,1,0,0,0,92
70,1,1,0,0,0,91
71,1,1,0,0,0,86
72,2,1,0,0,0,93
73,5000,1,0,0,0,89
74,18,1,0,0,0,94
75,100,1,0,0,0,86
76,2,1,0,0,0,84
77,40,1,0,0,0,84
78,1000,1,0,0,0,92
79,6000,1,0,0,0,93
80,2,1,0,0,0,81
81,740000,1,0,0,0,91
82,100,1,0,0,0,90
83,120,1,0,0,0,92
84,60,1,0,0,0,82
85,61000,1,0,0,0,91
86,66000,1,0,0,0,86
87,22,1,0,0,0,82
88,7,1,0,0,0,81
89,1,1,0,0,0,82
90,10000,1,0,0,0,84
91,14,1,0,0,0,83
92,100,1,0,0,0,93
93,20,1,0,0,0,89
94,8,1,0,0,0,94
95,22,1,0,0,0,93
96,1000,1,0,0,0,85
97,1000,1,0,0,0,90
98,1000,1,0,0,0,96
99,600,1,0,0,0,83
100,100000,1,0,0,0,85
101,1,1,0,0,0,84
102,24,1,0,0,0,80
103,2000,1,0,0,0,86
104,100000,1,0,0,0,96
105,11500,1,0,0,0,86
106,2,1,0,0,0,84
107,30000,1,0,0,0,92
108,5000,1,0,0,0,82
109,20000,1,0,0,0,91
110,8,1,0,0,0,84
111,4,1,0,0,0,91
112,1000,1,0,0,0,80
113,1000,1,0,0,0,84
114,29,1,0,0,0,82
115,1000,1,0,0,0,84
116,25000,1,0,0,0,85
117,800,1,0,0,0,94
118,1500,1,0,0,0,88
119,1000,1,0,0,0,81
120,0,1,0,0,0,87
121,10000,1,0,0,0,93
122,25000,1,0,0,0,96
123,5000,1,0,0,0,92
124,1000,1,0,0,0,85
125,20000,1,0,0,0,89
126,0,1,0,0,0,95
127,108,1,0,0,0,89
128,0,1,0,0,0,82
129,0,1,0,0,0,85
130,1500,1,0,0,0,86
131,80000,1,0,0,0,86
132,1000,1,0,0,0,90
133,15000,1,0,0,0,92
134,22000,1,0,0,0,85
135,1000,1,0,0,0,94
136,2,1,0,0,0,89
137,2,1,0,0,0,81
138,2,1,0,0,0,90
139,0,1,0,0,0,87
140,1,1,0,0,0,88
141,4,1,0,0,0,84
142,4000,1,0,0,0,88
143,1000,1,0,0,0,92
144,20000,1,0,0,0,92
145,1000,1,0,0,0,92
146,1,1,0,0,0,84
147,180000,1,0,0,0,96
148,2,1,0,0,0,80
149,1150,1,0,0,0,90
150,31,1,0,0,0,88
151,0,1,0,0,0,92
152,2,1,0,0,0,88
153,1300,1,0,0,0,81
154,250,1,0,0,0,83
155,5,1,0,0,0,81
156,1,1,0,0,0,91
157,20000,1,0,0,0,96
158,1,1,0,0,0,90
159,8000,1,0,0,0,93
160,5,1,0,0,0,87
161,100,1,0,0,0,80
162,100,1,0,0,0,89
163,25,1,0,0,0,84
164,100,1,0,0,0,95
165,50,1,0,0,0,95
166,50,1,0,0,0,95
167,200,1,0,0,0,96
168,5000,1,0,0,0,83
169,1,1,0,0,0,85
170,100,1,0,0,0,92
171,1,1,0,0,0,82
172,25000,1,0,0,0,95
173,600,1,0,0,0,88
174,100,1,0,0,0,88
175,2,1,0,0,0,96
176,8000,1,0,0,0,84
177,100,1,0,0,0,94
178,150,1,0,0,0,80
179,50,1,0,0,0,84
180,5,1,0,0,0,85
181,100,1,0,0,0,82
182,1200,1,0,0,0,94
183,100,1,0,0,0,87
184,20,1,0,0,0,96
185,100,1,0,0,0,91
186,50000,1,0,0,0,96
187,50,1,0,0,0,94
188,50,1,0,0,0,84
189,2,1,0,0,0,92
190,15,1,0,0,0,85
191,2,1,0,0,0,81
192,40,1,0,0,0,88
193,5000,1,0,0,0,84
194,6,1,0,0,0,93
195,20,1,0,0,0,85
196,2000,1,0,0,0,94
197,200,1,0,0,0,84
198,500,1,0,0,0,87
199,10000,1,0,0,0,80
200,10000,1,0,0,0,85
201,1000,1,0,0,0,88
202,5000,1,0,0,0,81
203,1000,1,0,0,0,83
204,32,1,0,0,0,90
205,1,1,0,0,0,92
206,15,1,0,0,0,81
207,10,1,0,0,0,88
208,3,1,0,0,0,83
209,2,1,0,0,0,81
210,4,1,0,0,0,86
211,4,1,0,0,0,86
212,1,1,0,0,0,81
213,10,1,0,0,0,95
214,10,1,0,0,0,84
215,2500,1,0,0,0,90
216,10,1,0,0,0,87
217,50,1,0,0,0,90
218,50,1,0,0,0,96
219,50,1,0,0,0,85
220,1000,1,0,0,0,89
221,10,1,0,0,0,81
222,100,1,0,0,0,95
223,1000,1,0,0,0,96
224,5000,1,0,0,0,94
225,7000,1,0,0,0,89
226,12000,1,0,0,0,85
227,10000,1,0,0,0,94
228,41000,1,0,0,0,81
229,1000,1,0,0,0,84
230,2000,1,0,0,0,81
231,1000,1,0,0,0,93
232,5000,1,0,0,0,90
233,5000,1,0,0,0,89
234,6000,1,0,0,0,83
235,1,1,0,0,0,87
236,10,1,0,0,0,87
237,2000,1,0,0,0,89
238,10,1,0,0,0,90
239,3000,1,0,0,0,86
240,3000,1,0,0,0,90
241,25000,1,0,0,0,85
242,6000,1,0,0,0,94
243,20,1,0,0,0,95
244,10000,1,0,0,0,88
245,10,1,0,0,0,84
246,10000,1,0,0,0,90
247,5000,1,0,0,0,91
248,5000,1,0,0,0,80
249,1000,1,0,0,0,86
250,3,1,0,0,0,83
251,1000,1,0,0,0,89
252,1000,1,0,0,0,83
253,500,1,0,0,0,81
254,500,1,0,0,0,87
255,10,1,0,0,0,90
256,2,1,0,0,0,86
257,500,1,0,0,0,95
258,1,1,0,0,0,83
259,2,1,0,0,0,82
260,0,1,0,0,0,82
261,1000,1,0,0,0,87
262,5000,1,0,0,0,81
263,4,1,0,0,0,87
264,2000,1,0,0,0,95
265,100,1,0,0,0,94
266,10,1,0,0,0,88
267,10,1,0,0,0,81
268,3,1,0,0,0,86
269,0,1,0,0,0,84
270,0,1,0,0,0,87
271,0,1,0,0,0,95
272,400,1,0,0,0,88
273,1100,1,0,0,0,84
274,8,1,0,0,0,90
275,1000,1,0,0,0,92
276,0,1,0,0,0,94
277,50000,1,0,0,0,94
278,1,1,0,0,0,86
279,3,1,0,0,0,96
280,5,1,0,0,0,90
281,150,1,0,0,0,83
282,30,1,0,0,0,85
283,600,1,0,0,0,84
284,300,1,0,0,0,96
285,30,1,0,0,0,88
286,12000,1,0,0,0,93
287,500,1,0,0,0,91
288,2000,1,0,0,0,86
289,25,1,0,0,0,87
290,300,1,0,0,0,84
291,50,1,0,0,0,95
292,25,1,0,0,0,86
293,100,1,0,0,0,86
294,1000,1,0,0,0,80
295,1000,1,0,0,0,84
296,200,1,0,0,0,92
297,50,1,0,0,0,94
298,200,1,0,0,0,81
299,3000,1,0,0,0,82
300,4,1,0,0,0,89
301,150,1,0,0,0,96
302,200,1,0,0,0,86
303,300,1,0,0,0,82
304,200,1,0,0,0,95
305,24000,1,0,0,0,89
306,1000,1,0,0,0,95
307,3,1,0,0,0,88
308,20000,1,0,0,0,85
309,0,1,0,0,0,96
310,3000,1,0,0,0,95
311,100,1,0,0,0,85
312,2000,1,0,0,0,91
313,100,1,0,0,0,91
314,100,1,0,0,0,81
315,200,1,0,0,0,91
316,3000,1,0,0,0,80
317,100000,1,0,0,0,88
318,3,1,0,0,0,89
319,5,1,0,0,0,86
320,4,1,0,0,0,92
321,4,1,0,0,0,96
322,1,1,0,0,0,88
323,3,1,0,0,0,91
324,10,1,0,0,0,85
325,1000,1,0,0,0,88
326,1000,1,0,0,0,94
